Rate,Week,PC,logdose,pred,res,a,b,c,d,SSE
2.27,21,0.89296333,0.8197798315,0.9055334881,-0.012570158,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
2.27,21,0.8949454906,0.8197798315,0.9055334881,-0.010587997,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
2.27,21,0.89296333,0.8197798315,0.9055334881,-0.012570158,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
6.8,21,0.89296333,1.9169226122,0.9081736496,-0.01521032,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
6.8,21,0.8989098117,1.9169226122,0.9081736496,-0.009263838,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
6.8,21,0.9028741328,1.9169226122,0.9081736496,-0.005299517,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
6.8,21,0.9048562934,1.9169226122,0.9081736496,-0.003317356,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.003,22,0.3417721519,-5.80914299,0.3574622201,-0.015690068,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.003,22,0.3860759494,-5.80914299,0.3574622201,0.0286137293,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.003,22,0.3987341772,-5.80914299,0.3574622201,0.0412719571,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.003,22,0.2172995781,-5.80914299,0.3574622201,-0.140162642,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.009,22,0.4345991561,-4.710530702,0.3786176556,0.0559815005,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.009,22,0.3544303797,-4.710530702,0.3786176556,-0.024187276,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.009,22,0.3691983122,-4.710530702,0.3786176556,-0.009419343,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.009,22,0.3755274262,-4.710530702,0.3786176556,-0.003090229,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.028,22,0.4556962025,-3.575550769,0.4340095605,0.021686642,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.028,22,0.3291139241,-3.575550769,0.4340095605,-0.104895636,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.028,22,0.4810126582,-3.575550769,0.4340095605,0.0470030977,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.028,22,0.55907173,-3.575550769,0.4340095605,0.1250621695,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.084,22,0.5105485232,-2.47693848,0.5361621448,-0.025613622,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.084,22,0.6244725738,-2.47693848,0.5361621448,0.088310429,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.084,22,0.6708860759,-2.47693848,0.5361621448,0.1347239311,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.084,22,0.3502109705,-2.47693848,0.5361621448,-0.185951174,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.25,22,0.7341772152,-1.386294361,0.6554887544,0.0786884608,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.25,22,0.8797468354,-1.386294361,0.6554887544,0.2242580811,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
